sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_bmasse_missing,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing,pl_bmasse_log,pl_rade_log,pl_orbper_log,pl_orbsmax_log,pl_eqt_log,sy_dist_log,st_mass_log,st_rad_log,st_teff_log
2,1,Radial Velocity,323.21,1.178,2.4,4914.89849,0.238,903.0,G8 III,4874.0,13.76,2.09,-0.26,2.45,185.1787793,17.7932516,93.1846,4.72307,2.282,4.44038,0,1,0,0,0,0,0,0,0,0,0,0,0,8.500229821571187,1.2237754316221157,5.781391453983184,0.7784070245107687,6.806829360392176,4.545256686264396,1.128171090909654,2.6919208191723265,8.491875383431948
1,1,Radial Velocity,516.21997,1.53,2.4,4684.8142,0.08,903.0,Unknown,4213.0,29.79,2.78,-0.02,1.93,229.2745954,71.8239428,125.321,5.013,1.939,4.56216,0,1,0,0,0,0,0,0,0,0,0,0,0,8.452294968260318,1.2237754316221157,6.248468257907895,0.9282193027394289,6.806829360392176,4.838826286318839,1.3297240096314962,3.427189961936409,8.346167594364134
1,1,Radial Velocity,186.76,0.775,2.4,1131.1513,0.0,903.0,K0 III,4888.0,11.55,1.78,-0.21,2.55,352.82415,39.2358367,75.4392,5.23133,2.331,4.91781,0,1,0,0,0,0,0,0,0,0,0,0,0,7.031874907075611,1.2237754316221157,5.235164551542768,0.5738004229273792,6.806829360392176,4.3364956535925545,1.0224509277025458,2.529720665577793,8.494743062578646
1,2,Radial Velocity,1765.0389,2.774,2.4,2559.47216,0.373,903.0,Unknown,5551.0,0.95,0.91,0.02,4.46,242.6021014,43.8163621,17.9323,6.61935,4.714,6.383,0,1,0,0,0,1,1,0,1,1,0,0,0,7.847946957967103,1.2237754316221157,7.476494408101378,1.3281354469463584,6.806829360392176,2.940869458104803,0.6471032420585384,0.6678293725756554,8.62191350218664
3,1,Radial Velocity,798.5,1.66,2.4,565.7374,0.68,903.0,Unknown,5750.0,1.13,1.08,0.06,4.36,295.4656422,50.5168243,21.1397,6.215,4.651,6.06428,0,1,0,0,0,0,0,0,0,0,0,0,0,6.339896057115801,1.2237754316221157,6.683986532274009,0.9783261227936076,6.806829360392176,3.0973723770531856,0.7323678937132266,0.7561219797213337,8.657129031713755
1,1,Radial Velocity,578.38,1.45,2.4,1373.01872,0.06,903.0,K3 III,4157.0,25.92,1.22,-0.01,1.7,243.4620874,-11.8377905,124.953,5.22606,2.094,4.75429,0,1,0,0,0,0,0,0,0,0,0,0,0,7.225495097143631,1.2237754316221157,6.361958566272094,0.8960880245566356,6.806829360392176,4.835908821490736,0.7975071958841881,3.2928695047765273,8.332789468417959
2,1,Radial Velocity,982.85,2.476,2.4,2926.24614,0.024,903.0,G6 III,4980.0,8.8,2.1,-0.06,2.87,314.6078375,10.8391378,76.222,5.51048,3.366,5.27476,0,1,0,0,0,0,0,0,0,0,0,0,0,7.981817376084186,1.2237754316221157,6.891473446407854,1.2458822074031457,6.806829360392176,4.34668439052659,1.1314021114911006,2.2823823856765264,8.513385953073284
1,1,Other,11.267014645,330.0,2.4,3000.0,0.086,1700.0,K7 V,4060.0,0.95,0.85,0.02,4.46,242.3762343,-21.0831403,139.135,12.618,8.916,12.0572,0,1,1,0,1,0,1,0,1,1,0,0,0,8.006700845440367,1.2237754316221157,2.5069139239033302,5.802118375377063,7.438971592395862,4.942606243698784,0.6151856390902334,0.6678293725756554,8.309184527686298
1,1,Radial Velocity,30.33,0.194,2.4,280.64248,0.032,903.0,G3 IV,4816.0,12.19,1.05,-0.78,2.28,217.1555242,49.8446488,95.9863,5.59,3.159,5.3339,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6406384651795545,1.2237754316221157,3.4445761049641,0.17730901497041035,6.806829360392176,4.574569731415081,0.7178397931503169,2.579458966729223,8.479906606630221
1,2,Radial Velocity,452.8,1.333,2.4,632.46,0.09,903.0,Unknown,5098.0,4.9,1.54,-0.03,3.5,155.8684866,-0.9023998,72.0691,6.4535,4.285,6.20374,0,1,0,0,0,0,0,0,0,0,0,0,0,6.451196856489088,1.2237754316221157,6.117656572345742,0.8471549930392929,6.806829360392176,4.291405568770929,0.9321640810304452,1.7749523509116738,8.536799721055155
